transaction_id,user_id,amount,transaction_type,merchant_category,country,hour,device_risk_score,ip_risk_score,is_fraud
9608,363,4922.59,ATM,Travel,TR,12,0.99,0.95,1
456,692,48.02,QR,Food,US,21,0.17,0.22,0
4747,587,136.88,Online,Travel,TR,14,0.30,0.13,0
6934,445,80.53,POS,Clothing,TR,23,0.12,0.16,0
1646,729,120.04,Online,Grocery,FR,16,0.10,0.03,0
2183,944,97.11,POS,Clothing,DE,17,0.24,0.11,0
1919,829,166.21,Online,Travel,UK,12,0.12,0.22,0
3479,845,96.51,Online,Grocery,US,7,0.08,0.03,0
6796,129,83.34,QR,Food,DE,16,0.02,0.28,0
5129,249,89.70,QR,Grocery,UK,6,0.10,0.14,0
7402,701,101.40,QR,Travel,FR,7,0.16,0.29,0
6188,116,106.56,QR,Food,DE,23,0.14,0.14,0
8538,679,55.36,Online,Food,US,10,0.07,0.13,0
8410,559,99.41,Online,Food,DE,10,0.08,0.01,0
8201,564,94.55,ATM,Clothing,TR,20,0.13,0.16,0
2187,336,133.41,POS,Food,UK,19,0.08,0.29,0
5666,166,158.00,QR,Electronics,FR,19,0.21,0.02,0
1419,288,203.00,QR,Grocery,TR,23,0.16,0.08,0
6484,984,88.51,QR,Travel,UK,19,0.15,0.21,0
2480,137,115.31,Online,Food,FR,14,0.21,0.07,0
2818,893,63.99,QR,Travel,FR,12,0.04,0.22,0
8826,620,113.31,ATM,Clothing,TR,9,0.14,0.03,0
8257,600,131.96,Online,Clothing,FR,18,0.04,0.04,0
9933,121,4284.18,ATM,Food,TR,12,0.74,0.73,1
9035,358,76.70,POS,Grocery,TR,7,0.09,0.18,0
7468,688,138.64,POS,Electronics,TR,17,0.11,0.21,0
464,832,133.26,Online,Travel,DE,15,0.06,0.09,0
599,155,17.55,POS,Electronics,FR,7,0.01,0.18,0
3094,200,1.00,POS,Food,US,9,0.11,0.18,0
8745,865,154.72,Online,Grocery,FR,9,0.16,0.03,0
2730,375,103.78,ATM,Grocery,US,17,0.21,0.14,0
4155,826,54.20,ATM,Grocery,TR,22,0.09,0.01,0
4298,847,91.65,QR,Food,TR,18,0.27,0.13,0
9139,769,135.34,POS,Grocery,FR,16,0.07,0.08,0
3983,271,64.97,POS,Grocery,TR,16,0.02,0.25,0
8777,568,117.16,POS,Food,DE,10,0.13,0.29,0
2140,719,174.59,Online,Clothing,FR,6,0.17,0.21,0
3084,161,98.82,ATM,Food,TR,19,0.20,0.05,0
7706,557,101.64,POS,Food,TR,15,0.08,0.16,0
7574,421,138.33,POS,Electronics,FR,8,0.26,0.15,0
4233,561,118.63,ATM,Travel,FR,15,0.02,0.06,0
3826,920,109.36,ATM,Electronics,TR,8,0.06,0.03,0
8966,430,140.47,POS,Grocery,US,9,0.01,0.10,0
5329,968,120.12,POS,Clothing,FR,19,0.08,0.23,0
6819,927,50.68,POS,Travel,TR,12,0.28,0.21,0
1711,813,173.98,ATM,Electronics,TR,9,0.00,0.09,0
8484,879,53.25,POS,Electronics,FR,19,0.26,0.10,0
7710,984,26.69,Online,Electronics,US,17,0.25,0.10,0
4048,798,79.42,ATM,Food,US,8,0.01,0.15,0
4570,566,3.63,POS,Food,US,20,0.22,0.24,0
5474,94,123.14,Online,Food,UK,12,0.22,0.06,0
4669,656,90.12,Online,Clothing,US,19,0.16,0.25,0
2459,900,49.77,QR,Electronics,DE,10,0.26,0.07,0
8065,822,91.06,Online,Clothing,FR,16,0.14,0.28,0
2577,71,127.58,QR,Clothing,UK,15,0.22,0.12,0
3055,29,115.13,Online,Clothing,US,12,0.23,0.24,0
